zone,target,model,RMSE,MAE,R2,Adj_R2,Pearson_r,p_value
Wet,SOS,Linear Regression,21.243,14.968,-2.0437,-15.7401,0.4347,0.0382
Wet,SOS,Ridge Regression,23.02,16.337,-2.5743,-18.6584,-0.1965,0.3689
Wet,SOS,Random Forest,13.201,10.469,-0.1754,-5.4649,-0.0628,0.7759
Wet,SOS,Gradient Boosting,13.369,10.439,-0.2055,-5.63,-0.0125,0.9547
Wet,EOS,Linear Regression,40.92,32.241,-4.8232,-31.0276,0.0728,0.7412
Wet,EOS,Ridge Regression,19.516,14.718,-0.3246,-6.2854,0.2793,0.1969
Wet,EOS,Random Forest,17.684,14.216,-0.0875,-4.9812,0.1268,0.5642
Wet,EOS,Gradient Boosting,20.413,15.589,-0.4491,-6.9701,-0.0529,0.8107
Wet,LOS,Linear Regression,42.945,32.918,-6.3518,-39.4349,-0.1788,0.4143
Wet,LOS,Ridge Regression,29.47,20.788,-2.4618,-18.0401,-0.1926,0.3786
Wet,LOS,Random Forest,19.157,13.821,-0.4629,-7.0457,-0.3702,0.082
Wet,LOS,Gradient Boosting,22.144,16.356,-0.9547,-9.7506,-0.3176,0.1397
Dry,SOS,Linear Regression,40.029,30.288,-6.6178,-40.8978,0.3447,0.1072
Dry,SOS,Ridge Regression,15.058,12.557,-0.0779,-4.9286,0.5022,0.0146
Dry,SOS,Random Forest,15.416,13.213,-0.1299,-5.2145,-0.0034,0.9877
Dry,SOS,Gradient Boosting,15.954,13.647,-0.2101,-5.6553,0.0111,0.96
Dry,EOS,Linear Regression,32.144,24.025,-16.9504,-97.7272,0.0815,0.7115
Dry,EOS,Ridge Regression,12.815,8.972,-1.8532,-14.6923,0.0891,0.6861
Dry,EOS,Random Forest,9.224,6.376,-0.4783,-7.1305,-0.2973,0.1683
Dry,EOS,Gradient Boosting,10.883,6.22,-1.0576,-10.3169,-0.1815,0.4072
Dry,LOS,Linear Regression,24.597,19.882,-2.0945,-16.0198,0.4021,0.0572
Dry,LOS,Ridge Regression,15.333,11.969,-0.2025,-5.6137,0.3951,0.062
Dry,LOS,Random Forest,14.33,11.578,-0.0504,-4.7771,0.1501,0.4942
Dry,LOS,Gradient Boosting,14.741,11.854,-0.1114,-5.1129,0.1892,0.3873
