Zone,Variable,var_key,MK_trend,Z_score,p_value,S_stat,Sens_slope_per_yr
Wet,Start of Season,SOS,increasing,1.86,0.0628,76,0.7778
Wet,End of Season,EOS,increasing,1.836,0.0664,75,0.1752
Wet,Length of Season,LOS,decreasing,-1.339,0.1804,-55,-0.6077
Wet,Peak Timing,peak_doy,increasing,1.166,0.2437,48,0.8
Wet,Peak NDVI,peak_ndvi,increasing,0.273,0.785,12,0.0001
Wet,Seasonal Productivity,integrated_NDVI,increasing,3.349,0.0008,136,0.6145
Dry,Start of Season,SOS,increasing,0.372,0.7098,16,0.219
Dry,End of Season,EOS,increasing,1.935,0.053,79,0.3846
Dry,Length of Season,LOS,increasing,0.794,0.4273,33,0.3229
Dry,Peak Timing,peak_doy,decreasing,-2.927,0.0034,-119,-2.5227
Dry,Peak NDVI,peak_ndvi,increasing,1.761,0.0782,72,0.0011
Dry,Seasonal Productivity,integrated_NDVI,increasing,2.753,0.0059,112,0.6228
Others,Start of Season,SOS,increasing,1.612,0.1069,66,0.554
Others,End of Season,EOS,increasing,1.315,0.1886,54,0.1458
Others,Length of Season,LOS,decreasing,-0.645,0.519,-27,-0.1548
Others,Peak Timing,peak_doy,increasing,1.488,0.1367,61,1.0812
Others,Peak NDVI,peak_ndvi,decreasing,-0.372,0.7098,-16,-0.0004
Others,Seasonal Productivity,integrated_NDVI,increasing,3.497,0.0005,142,0.772
